rank,bot,elo,matches,wins,losses,ties,win_rate,avg_score_delta,search_rate,search_conversion,prime_rate,carpet_rate,avg_carpet_len,avg_time_left
116,UNK:Turn 40 | rat top: (7, 7):0.016, (6, 7):,1596.8,43,19,23,1,0.4535,-2.44,0.2262,0.5116,0.4128,0.1302,2.36,69.6
117,UNK:Phase23 Fresh Agent Summary
Turns played,1594.6,149,69,77,3,0.4732,-1.13,0.1242,0.5095,0.4301,0.1531,2.25,67.0
118,UNK:alpha sigma alpha epsilon bot mcts alpha,1594.1,153,73,74,6,0.4967,-0.76,0.1466,0.6098,0.4546,0.1108,2.44,68.5
119,Yolanda_v5,1592.7,90,52,36,2,0.5889,2.66,0.0968,0.5764,0.4228,0.1747,2.28,236.5
120,UNK:v25 Active. Tracking opponent as: BALANC,1591.6,155,67,83,5,0.4484,-3.01,0.1437,0.6274,0.4021,0.1260,2.43,23.7
121,UNK:Root-Node Expectiminimax integrated. Rea,1590.0,47,29,16,2,0.6383,4.30,0.2585,0.4342,0.4133,0.1261,2.63,40.0
122,UNK:Turn 40 | depth: 100 | nodes: 15 | rat:,1588.5,58,29,27,2,0.5172,2.34,0.1315,0.6098,0.4272,0.1509,2.31,21.5
123,UNK:Axiom Engine. Pure Game Theory,1587.8,30,14,16,0,0.4667,-1.83,0.0000,0.0000,0.4750,0.1683,2.29,147.0
124,UNK:v2.3,1584.8,135,58,73,4,0.4444,-2.10,0.1641,0.5959,0.3765,0.1411,2.11,170.0
125,Yolanda_v9_HMM,1583.9,308,162,136,10,0.5422,2.16,0.1892,0.5538,0.4553,0.1131,2.47,124.9
126,UNK:Primer depth 5, nodes 37, tt_hits 0, sea,1583.3,38,21,15,2,0.5789,0.45,0.1520,0.6364,0.3737,0.1803,2.27,236.7
127,UNK:Minimax+AB+HMM | turns=40 | rat best@(,1582.3,733,416,295,22,0.5825,2.49,0.1199,0.6021,0.4604,0.1445,2.43,76.6
128,UNK:minimax_bot turns=40 guesses=1 acc=100%,1580.5,65,36,26,3,0.5769,3.60,0.0250,1.0000,0.4915,0.1823,2.40,19.7
129,UNK:Rat: 0.016 at (0, 0) | fails:,1579.1,59,28,31,0,0.4746,-3.07,0.2059,0.5000,0.3979,0.1432,2.25,192.2
130,UNK:Executing Targeted Expectiminimax with C,1577.7,171,101,68,2,0.5965,1.83,0.0939,0.5296,0.4687,0.1583,2.41,48.7
131,UNK:Apples-to-Apples evaluation. No kamikaze,1576.2,93,41,46,6,0.4731,-1.27,0.1124,0.6029,0.4215,0.1586,2.24,70.7
132,Garry_Stockfish,1574.1,305,153,141,11,0.5197,1.30,0.0419,0.5186,0.4657,0.1633,2.52,56.3
133,UNK:Sukhmani_fix,1573.8,88,39,48,1,0.4489,-0.41,0.2008,0.5319,0.4212,0.1290,2.36,23.9
134,UNK:I no longer build to dream; I build to e,1573.0,341,165,165,11,0.5000,0.44,0.0903,0.6306,0.4341,0.1500,2.38,16.6
135,UNK:locked in ?,1572.8,147,76,68,3,0.5272,2.00,0.1844,0.5664,0.4491,0.1097,2.26,4.1
136,UNK:Deidre: expert-trace heuristic with prim,1572.7,94,47,43,4,0.5213,0.28,0.1473,0.5558,0.4320,0.1519,2.30,234.3
137,UNK:ByteBot Initialization complete,1571.4,31,12,17,2,0.4194,-5.65,0.1871,0.5690,0.3758,0.1210,2.34,12.3
138,UNK:RachelleBot V32 | Peak Depth: 12, Final,1567.6,121,67,49,5,0.5744,1.68,0.0527,0.4921,0.4721,0.1252,2.67,102.7
139,UNK:Calvert: Caligula-equivalent AB/eval + d,1567.0,40,20,20,0,0.5000,4.10,0.1194,0.5812,0.4525,0.1506,2.40,234.1
140,UNK:Neel-v13: Run-Length Board Potential + N,1566.7,309,178,121,10,0.5922,3.22,0.0829,0.6777,0.4649,0.1383,2.56,19.4
141,James_Saboteur,1564.1,320,158,150,12,0.5125,1.61,0.0955,0.7138,0.4473,0.1575,2.30,13.8
142,UNK:Neel-v10: HMM regularization + longer ch,1563.4,254,137,111,6,0.5512,1.34,0.0833,0.6749,0.4608,0.1406,2.55,31.2
143,UNK:Turn 40 | depth: 100 | nodes: 4 | rat: (,1562.8,49,24,25,0,0.4898,0.02,0.1413,0.5523,0.4138,0.1510,2.32,26.7
144,TurnsCatches_Bot,1560.6,290,123,158,9,0.4397,-2.34,0.0891,0.6132,0.4348,0.1324,2.36,91.3
145,UNK:v2.2,1559.7,35,13,19,3,0.4143,-2.29,0.1600,0.5938,0.3679,0.1429,2.06,168.0
146,UNK:bot2_5_2 expectiminimax | depth=8 nodes=,1559.4,159,73,82,4,0.4717,-1.19,0.1199,0.6196,0.4185,0.1493,2.23,205.9
147,UNK:Checkmate. AOT Protocol Active,1556.2,59,19,37,3,0.3475,-2.15,0.1403,0.5982,0.4004,0.1199,2.53,27.8
